date,hour,day_of_week,price_euros_mwh
2020-12-31,23,3,50.87
2021-01-01,0,4,48.19
2021-01-01,1,4,44.68
2021-01-01,2,4,42.92
2021-01-01,3,4,40.39
2021-01-01,4,4,40.20
2021-01-01,5,4,39.63
2021-01-01,6,4,40.09
2021-01-01,7,4,41.27
2021-01-01,8,4,44.88
2021-01-01,9,4,45.00
2021-01-01,10,4,47.20
2021-01-01,11,4,50.78
2021-01-01,12,4,45.49
2021-01-01,13,4,44.73
2021-01-01,14,4,46.59
2021-01-01,15,4,52.99
2021-01-01,16,4,60.26
2021-01-01,17,4,60.61
2021-01-01,18,4,60.36
2021-01-01,19,4,57.40
2021-01-01,20,4,53.86
2021-01-01,21,4,53.45
2021-01-01,22,4,49.72
2021-01-01,23,4,46.69
2021-01-02,0,5,42.43
2021-01-02,1,5,41.09
2021-01-02,2,5,40.00
2021-01-02,3,5,37.55
2021-01-02,4,5,39.00
2021-01-02,5,5,42.09
2021-01-02,6,5,44.96
2021-01-02,7,5,48.45
2021-01-02,8,5,52.00
2021-01-02,9,5,52.00
2021-01-02,10,5,52.15
2021-01-02,11,5,55.95
2021-01-02,12,5,52.00
2021-01-02,13,5,50.69
2021-01-02,14,5,53.45
2021-01-02,15,5,59.99
2021-01-02,16,5,62.00
2021-01-02,17,5,63.08
2021-01-02,18,5,62.17
2021-01-02,19,5,60.03
2021-01-02,20,5,55.03
2021-01-02,21,5,52.25
2021-01-02,22,5,48.45
2021-01-02,23,5,46.11
2021-01-03,0,6,43.00
2021-01-03,1,6,39.55
2021-01-03,2,6,37.44
2021-01-03,3,6,35.64
2021-01-03,4,6,35.50
2021-01-03,5,6,36.14
2021-01-03,6,6,36.97
2021-01-03,7,6,38.92
2021-01-03,8,6,44.49
2021-01-03,9,6,49.00
2021-01-03,10,6,50.30
2021-01-03,11,6,52.04
2021-01-03,12,6,46.64
2021-01-03,13,6,44.01
2021-01-03,14,6,41.27
2021-01-03,15,6,49.92
2021-01-03,16,6,55.16
2021-01-03,17,6,59.29
2021-01-03,18,6,61.09
2021-01-03,19,6,60.00
2021-01-03,20,6,59.40
2021-01-03,21,6,55.36
2021-01-03,22,6,53.06
2021-01-03,23,6,50.23
2021-01-04,0,0,47.01
2021-01-04,1,0,43.79
2021-01-04,2,0,41.65
2021-01-04,3,0,41.62
2021-01-04,4,0,44.50
2021-01-04,5,0,56.00
2021-01-04,6,0,62.00
2021-01-04,7,0,64.84
2021-01-04,8,0,68.25
2021-01-04,9,0,65.97
2021-01-04,10,0,63.93
2021-01-04,11,0,63.94
2021-01-04,12,0,63.94
2021-01-04,13,0,61.97
2021-01-04,14,0,62.45
2021-01-04,15,0,63.90
2021-01-04,16,0,67.02
2021-01-04,17,0,71.05
2021-01-04,18,0,72.60
2021-01-04,19,0,70.00
2021-01-04,20,0,61.39
2021-01-04,21,0,59.80
2021-01-04,22,0,54.69
2021-01-04,23,0,54.79
2021-01-05,0,1,50.30
2021-01-05,1,1,49.53
2021-01-05,2,1,44.58
2021-01-05,3,1,45.05
2021-01-05,4,1,49.53
2021-01-05,5,1,58.15
2021-01-05,6,1,68.30
2021-01-05,7,1,70.41
2021-01-05,8,1,75.00
2021-01-05,9,1,73.48
2021-01-05,10,1,72.31
2021-01-05,11,1,71.35
2021-01-05,12,1,72.52
2021-01-05,13,1,69.75
2021-01-05,14,1,66.46
2021-01-05,15,1,66.04
2021-01-05,16,1,71.90
2021-01-05,17,1,80.00
2021-01-05,18,1,80.00
2021-01-05,19,1,70.12
2021-01-05,20,1,58.87
2021-01-05,21,1,58.50
2021-01-05,22,1,55.51
2021-01-05,23,1,53.73
2021-01-06,0,2,52.95
2021-01-06,1,2,52.73
2021-01-06,2,2,50.12
2021-01-06,3,2,47.20
2021-01-06,4,2,49.29
2021-01-06,5,2,55.00
2021-01-06,6,2,67.61
2021-01-06,7,2,73.60
2021-01-06,8,2,91.73
2021-01-06,9,2,86.99
2021-01-06,10,2,80.02
2021-01-06,11,2,78.76
2021-01-06,12,2,73.79
2021-01-06,13,2,73.02
2021-01-06,14,2,70.89
2021-01-06,15,2,72.85
2021-01-06,16,2,79.63
2021-01-06,17,2,101.07
2021-01-06,18,2,96.85
2021-01-06,19,2,79.60
2021-01-06,20,2,69.77
2021-01-06,21,2,64.31
2021-01-06,22,2,62.39
2021-01-06,23,2,77.00
2021-01-07,0,3,65.85
2021-01-07,1,3,63.78
2021-01-07,2,3,51.51
2021-01-07,3,3,49.35
2021-01-07,4,3,55.63
2021-01-07,5,3,65.00
2021-01-07,6,3,83.98
2021-01-07,7,3,95.02
2021-01-07,8,3,99.00
2021-01-07,9,3,93.83
2021-01-07,10,3,97.87
2021-01-07,11,3,100.00
2021-01-07,12,3,92.14
2021-01-07,13,3,80.40
2021-01-07,14,3,83.57
2021-01-07,15,3,89.68
2021-01-07,16,3,100.00
2021-01-07,17,3,106.95
2021-01-07,18,3,108.97
2021-01-07,19,3,95.85
2021-01-07,20,3,78.37
2021-01-07,21,3,71.68
2021-01-07,22,3,65.04
2021-01-07,23,3,57.45
2021-01-08,0,4,56.41
2021-01-08,1,4,55.17
2021-01-08,2,4,51.76
2021-01-08,3,4,50.86
2021-01-08,4,4,56.45
2021-01-08,5,4,65.75
2021-01-08,6,4,86.93
2021-01-08,7,4,103.54
2021-01-08,8,4,110.45
2021-01-08,9,4,109.96
2021-01-08,10,4,106.82
2021-01-08,11,4,102.37
2021-01-08,12,4,97.61
2021-01-08,13,4,95.00
2021-01-08,14,4,95.42
2021-01-08,15,4,95.00
2021-01-08,16,4,110.00
2021-01-08,17,4,113.37
2021-01-08,18,4,114.89
2021-01-08,19,4,88.06
2021-01-08,20,4,78.37
2021-01-08,21,4,65.60
2021-01-08,22,4,69.27
2021-01-08,23,4,61.90
2021-01-09,0,5,58.38
2021-01-09,1,5,55.96
2021-01-09,2,5,51.88
2021-01-09,3,5,50.25
2021-01-09,4,5,50.25
2021-01-09,5,5,51.39
2021-01-09,6,5,55.62
2021-01-09,7,5,59.80
2021-01-09,8,5,66.92
2021-01-09,9,5,67.71
2021-01-09,10,5,68.00
2021-01-09,11,5,67.01
2021-01-09,12,5,62.53
2021-01-09,13,5,60.00
2021-01-09,14,5,60.00
2021-01-09,15,5,62.78
2021-01-09,16,5,69.92
2021-01-09,17,5,71.99
2021-01-09,18,5,68.95
2021-01-09,19,5,62.66
2021-01-09,20,5,59.00
2021-01-09,21,5,56.53
2021-01-09,22,5,54.86
2021-01-09,23,5,56.86
2021-01-10,0,6,55.75
2021-01-10,1,6,53.14
2021-01-10,2,6,49.03
2021-01-10,3,6,48.45
2021-01-10,4,6,49.07
2021-01-10,5,6,50.87
2021-01-10,6,6,50.23
2021-01-10,7,6,51.60
2021-01-10,8,6,57.43
2021-01-10,9,6,59.45
2021-01-10,10,6,61.53
2021-01-10,11,6,60.39
2021-01-10,12,6,56.41
2021-01-10,13,6,53.18
2021-01-10,14,6,54.85
2021-01-10,15,6,56.52
2021-01-10,16,6,62.09
2021-01-10,17,6,65.11
2021-01-10,18,6,73.91
2021-01-10,19,6,63.58
2021-01-10,20,6,57.43
2021-01-10,21,6,56.84
2021-01-10,22,6,60.72
2021-01-10,23,6,58.25
2021-01-11,0,0,53.19
2021-01-11,1,0,50.87
2021-01-11,2,0,47.69
2021-01-11,3,0,46.36
2021-01-11,4,0,52.30
2021-01-11,5,0,62.51
2021-01-11,6,0,77.90
2021-01-11,7,0,86.40
2021-01-11,8,0,89.06
2021-01-11,9,0,77.20
2021-01-11,10,0,74.07
2021-01-11,11,0,72.94
2021-01-11,12,0,71.38
2021-01-11,13,0,69.21
2021-01-11,14,0,69.04
2021-01-11,15,0,69.81
2021-01-11,16,0,75.00
2021-01-11,17,0,83.00
2021-01-11,18,0,79.63
2021-01-11,19,0,70.95
2021-01-11,20,0,64.41
2021-01-11,21,0,62.25
2021-01-11,22,0,61.12
2021-01-11,23,0,56.18
2021-01-12,0,1,55.26
2021-01-12,1,1,54.67
2021-01-12,2,1,48.16
2021-01-12,3,1,46.57
2021-01-12,4,1,48.86
2021-01-12,5,1,50.05
2021-01-12,6,1,65.40
2021-01-12,7,1,62.12
2021-01-12,8,1,68.46
2021-01-12,9,1,67.79
2021-01-12,10,1,70.78
2021-01-12,11,1,70.70
2021-01-12,12,1,69.50
2021-01-12,13,1,68.77
2021-01-12,14,1,73.60
2021-01-12,15,1,65.63
2021-01-12,16,1,74.76
2021-01-12,17,1,78.93
2021-01-12,18,1,77.10
2021-01-12,19,1,70.00
2021-01-12,20,1,60.03
2021-01-12,21,1,61.56
2021-01-12,22,1,59.97
2021-01-12,23,1,64.68
2021-01-13,0,2,61.60
2021-01-13,1,2,60.99
2021-01-13,2,2,55.84
2021-01-13,3,2,55.43
2021-01-13,4,2,61.40
2021-01-13,5,2,71.20
2021-01-13,6,2,84.00
2021-01-13,7,2,88.33
2021-01-13,8,2,95.46
2021-01-13,9,2,85.08
2021-01-13,10,2,81.07
2021-01-13,11,2,83.76
2021-01-13,12,2,77.56
2021-01-13,13,2,76.37
2021-01-13,14,2,77.78
2021-01-13,15,2,73.58
2021-01-13,16,2,86.42
2021-01-13,17,2,87.69
2021-01-13,18,2,85.96
2021-01-13,19,2,69.55
2021-01-13,20,2,58.41
2021-01-13,21,2,64.64
2021-01-13,22,2,65.70
2021-01-13,23,2,57.65
2021-01-14,0,3,58.60
2021-01-14,1,3,57.71
2021-01-14,2,3,45.96
2021-01-14,3,3,43.70
2021-01-14,4,3,47.91
2021-01-14,5,3,60.04
2021-01-14,6,3,79.90
2021-01-14,7,3,88.82
2021-01-14,8,3,89.27
2021-01-14,9,3,89.63
2021-01-14,10,3,91.05
2021-01-14,11,3,88.75
2021-01-14,12,3,87.10
2021-01-14,13,3,83.98
2021-01-14,14,3,79.96
2021-01-14,15,3,83.42
2021-01-14,16,3,95.98
2021-01-14,17,3,90.16
2021-01-14,18,3,87.70
2021-01-14,19,3,74.58
2021-01-14,20,3,62.74
2021-01-14,21,3,59.82
2021-01-14,22,3,55.60
2021-01-14,23,3,48.98
2021-01-15,0,4,48.66
2021-01-15,1,4,47.70
2021-01-15,2,4,46.60
2021-01-15,3,4,48.00
2021-01-15,4,4,51.52
2021-01-15,5,4,62.97
2021-01-15,6,4,77.94
2021-01-15,7,4,90.04
2021-01-15,8,4,97.76
2021-01-15,9,4,90.69
2021-01-15,10,4,86.97
2021-01-15,11,4,79.25
2021-01-15,12,4,76.64
2021-01-15,13,4,77.14
2021-01-15,14,4,76.98
2021-01-15,15,4,82.00
2021-01-15,16,4,88.22
2021-01-15,17,4,98.02
2021-01-15,18,4,95.01
2021-01-15,19,4,77.20
2021-01-15,20,4,67.18
2021-01-15,21,4,63.19
2021-01-15,22,4,57.01
2021-01-15,23,4,64.37
2021-01-16,0,5,59.91
2021-01-16,1,5,55.10
2021-01-16,2,5,52.20
2021-01-16,3,5,49.51
2021-01-16,4,5,48.52
2021-01-16,5,5,49.67
2021-01-16,6,5,53.51
2021-01-16,7,5,61.96
