Jours/Heures;00:00;00:30;01:00;01:30;02:00;02:30;03:00;03:30;04:00;04:30;05:00;05:30;06:00;06:30;07:00;07:30;08:00;08:30;09:00;09:30;10:00;10:30;11:00;11:30;12:00;12:30;13:00;13:30;14:00;14:30;15:00;15:30;16:00;16:30;17:00;17:30;18:00;18:30;19:00;19:30;20:00;20:30;21:00;21:30;22:00;22:30;23:00;23:30
 01/01/2022;49964;50933;49913;50324;49751;48583;46830;45631;44472;43672;42652;43069;43227;43087;43540;43466;43876;43453;43050;42997;44394;44797;46207;45969;48300;47390;49317;46787;45806;44667;43977;43808;43697;44076;45276;47393;48732;49832;50841;51441;51208;50758;50377;48621;47618;49056;51053;51336
 02/01/2022;50285;50014;48559;49091;48107;47039;45462;44554;43931;43488;42781;43363;43477;44492;45211;45315;46315;46425;46507;47417;48625;49387;50476;50848;52894;52696;54632;51924;49879;48969;48296;47535;47013;47649;49132;51789;54172;55183;57032;57134;56826;55485;54077;52976;51741;52795;54440;54623
 03/01/2022;53310;54705;52673;53267;52643;51565;50109;49450;48804;48990;49712;52054;54474;58569;62059;64847;66926;66634;66580;66884;66629;66191;66534;66268;67317;66332;67510;65274;64511;64456;62902;62607;62780;62953;64398;66832;68018;68941;70527;68400;66492;63957;61471;60019;58477;59109;60793;60542
 04/01/2022;59548;56786;54609;55047;54614;53626;52004;51348;50686;50812;51412;53354;55382;59176;62642;65628;67472;67496;67328;67442;67355;66668;66817;66511;67798;66801;68312;66227;65903;66072;64791;64497;64586;65009;66948;69704;70926;71826;73186;71493;69448;66964;64385;63176;61560;61898;63795;63054
 05/01/2022;61845;59621;57264;57574;57158;56318;55291;54366;53959;54353;55360;57223;59535;62999;66605;69208;72093;72741;72995;73609;73853;73310;73196;73012;73937;72930;74230;71241;71080;70730;69199;68901;68523;68733;70673;73384;74877;75884;77537;76252;74462;72069;70220;68462;66970;67948;69862;69073
 06/01/2022;68191;66063;63762;64469;64129;62703;61764;60749;60008;60292;61079;62741;65100;68835;72585;75569;77879;78215;78405;78643;78570;78033;77734;77076;77695;76566;76996;74733;74257;73618;72175;71726;70884;71402;72793;75073;76326;77809;79557;78364;76112;73781;72150;70584;68930;69280;71122;70877
 07/01/2022;69551;67902;65847;66569;65987;64697;63438;62471;61746;61684;62307;63913;66064;69350;72571;75215;77511;77981;78395;78286;78046;77973;77410;76869;77441;76470;77428;74331;73875;73025;71473;70890;70651;70549;71825;73890;75427;75981;76564;74869;72985;71341;69776;68438;67693;68069;70426;70520
 08/01/2022;69391;65646;63560;63856;63152;61414;59924;58790;57778;57432;57285;58058;58968;60142;61126;62520;64421;66067;67140;68643;68527;69117;68600;68990;70099;69964;71099;67757;66383;66125;63989;62987;62322;61776;62240;64405;66376;67459;68744;68000;66146;64691;63249;61936;60976;62192;64212;63961
 09/01/2022;62499;61130;59463;59916;59327;57784;56167;55091;54140;53659;53132;54111;54502;55404;55751;56879;58489;59951;61555;63412;64752;65884;66551;67162;68875;68637;70103;66243;64768;64491;62213;61877;61482;61436;62317;64703;66675;68378;70074;70115;68771;67356;66262;64743;63197;63925;65845;65235
 10/01/2022;63785;60574;58966;59558;59516;57999;56672;55768;54969;55147;55599;57846;60047;63723;66676;69359;71802;72066;72819;73174;73351;73372;73622;73675;74769;74066;75298;72501;71533;70890;68904;68390;68353;68555;69233;71104;73294;74761;76507;75242;73767;71387;69667;67706;66151;67087;68085;67372
 11/01/2022;65748;65448;63791;64251;64366;63280;61867;61311;60726;60769;61419;63358;65758;69225;72458;75428;77566;78019;78183;78304;77844;77454;77097;76697;77334;76539;77344;74375;73402;71896;70864;70304;70101;70608;71639;73827;76358;77785;79553;78719;77158;74947;73259;71454;69983;70645;71818;71077
