Date;Value;Currency/Unit
16/01/2019;61,56;EUR/MWh
17/01/2019;66,68;EUR/MWh
18/01/2019;63,87;EUR/MWh
19/01/2019;61,54;EUR/MWh
20/01/2019;71,51;EUR/MWh
21/01/2019;72,32;EUR/MWh
22/01/2019;76,07;EUR/MWh
23/01/2019;85,94;EUR/MWh
24/01/2019;69,53;EUR/MWh
25/01/2019;54,39;EUR/MWh
26/01/2019;40,53;EUR/MWh
27/01/2019;55,89;EUR/MWh
28/01/2019;62,67;EUR/MWh
29/01/2019;59,18;EUR/MWh
30/01/2019;61,13;EUR/MWh
31/01/2019;59,49;EUR/MWh
01/02/2019;50,21;EUR/MWh
02/02/2019;47,78;EUR/MWh
03/02/2019;57,23;EUR/MWh
04/02/2019;58,36;EUR/MWh
05/02/2019;52,99;EUR/MWh
06/02/2019;48,21;EUR/MWh
07/02/2019;47,39;EUR/MWh
08/02/2019;33,78;EUR/MWh
09/02/2019;32,09;EUR/MWh
10/02/2019;47,13;EUR/MWh
11/02/2019;51,39;EUR/MWh
12/02/2019;49,7;EUR/MWh
13/02/2019;50,45;EUR/MWh
14/02/2019;48,85;EUR/MWh
15/02/2019;44,03;EUR/MWh
16/02/2019;39,67;EUR/MWh
17/02/2019;47,02;EUR/MWh
18/02/2019;47,02;EUR/MWh
19/02/2019;47,16;EUR/MWh
20/02/2019;47,03;EUR/MWh
21/02/2019;47,02;EUR/MWh
22/02/2019;40,06;EUR/MWh
23/02/2019;39,64;EUR/MWh
24/02/2019;44,44;EUR/MWh
25/02/2019;43,75;EUR/MWh
26/02/2019;43,43;EUR/MWh
27/02/2019;40,09;EUR/MWh
28/02/2019;44,35;EUR/MWh
01/03/2019;40,71;EUR/MWh
02/03/2019;17,88;EUR/MWh
03/03/2019;29,23;EUR/MWh
04/03/2019;40,41;EUR/MWh
05/03/2019;35,98;EUR/MWh
06/03/2019;32,65;EUR/MWh
07/03/2019;40,03;EUR/MWh
08/03/2019;24,03;EUR/MWh
09/03/2019;18,29;EUR/MWh
10/03/2019;39,28;EUR/MWh
11/03/2019;39,41;EUR/MWh
12/03/2019;28,88;EUR/MWh
13/03/2019;35,13;EUR/MWh
14/03/2019;29,85;EUR/MWh
15/03/2019;17,75;EUR/MWh
16/03/2019;8,76;EUR/MWh
17/03/2019;38,6;EUR/MWh
18/03/2019;45,31;EUR/MWh
19/03/2019;41,96;EUR/MWh
20/03/2019;39,93;EUR/MWh
21/03/2019;40,45;EUR/MWh
22/03/2019;35,6;EUR/MWh
23/03/2019;33,35;EUR/MWh
24/03/2019;33,86;EUR/MWh
25/03/2019;37,29;EUR/MWh
26/03/2019;39,97;EUR/MWh
27/03/2019;40,48;EUR/MWh
28/03/2019;39,34;EUR/MWh
29/03/2019;34,05;EUR/MWh
30/03/2019;26,68;EUR/MWh
31/03/2019;36,67;EUR/MWh
01/04/2019;35,73;EUR/MWh
02/04/2019;42,93;EUR/MWh
03/04/2019;43,8;EUR/MWh
04/04/2019;43,53;EUR/MWh
05/04/2019;39,13;EUR/MWh
06/04/2019;38,37;EUR/MWh
07/04/2019;45,42;EUR/MWh
08/04/2019;42,72;EUR/MWh
09/04/2019;44,07;EUR/MWh
10/04/2019;44,74;EUR/MWh
11/04/2019;44,9;EUR/MWh
12/04/2019;42,95;EUR/MWh
13/04/2019;41,57;EUR/MWh
14/04/2019;46,91;EUR/MWh
15/04/2019;45,25;EUR/MWh
16/04/2019;42,26;EUR/MWh
17/04/2019;41,55;EUR/MWh
18/04/2019;36,3;EUR/MWh
19/04/2019;30,31;EUR/MWh
20/04/2019;30,88;EUR/MWh
21/04/2019;10,86;EUR/MWh
22/04/2019;26,94;EUR/MWh
23/04/2019;33,39;EUR/MWh
24/04/2019;28,66;EUR/MWh
25/04/2019;39,97;EUR/MWh
26/04/2019;24,26;EUR/MWh
27/04/2019;33,46;EUR/MWh
28/04/2019;42,06;EUR/MWh
29/04/2019;42,85;EUR/MWh
30/04/2019;28,34;EUR/MWh
01/05/2019;38,93;EUR/MWh
02/05/2019;40,78;EUR/MWh
03/05/2019;38,57;EUR/MWh
04/05/2019;31,33;EUR/MWh
05/05/2019;44,76;EUR/MWh
06/05/2019;50,02;EUR/MWh
07/05/2019;38,4;EUR/MWh
08/05/2019;44,66;EUR/MWh
09/05/2019;44,88;EUR/MWh
10/05/2019;33,34;EUR/MWh
11/05/2019;23,53;EUR/MWh
12/05/2019;39,21;EUR/MWh
13/05/2019;40,57;EUR/MWh
14/05/2019;40,72;EUR/MWh
