date,prediction,reality
0,[27.629341],24.020000457763672
1,[48.063286],38.5099983215332
2,[46.853676],48.70000076293945
3,[20.462326],33.459999084472656
4,[33.16211],26.010000228881836
5,[82.798706],114.38999938964844
6,[251.97748],408.9599914550781
7,[27.95691],38.599998474121094
8,[76.62348],18.350000381469727
9,[80.99011],79.58000183105469
10,[27.674507],12.59000015258789
11,[21.632324],35.029998779296875
12,[242.89722],162.1300048828125
13,[126.07354],87.51000213623047
14,[175.26982],204.4499969482422
15,[31.547287],58.81999969482422
16,[95.832794],105.62999725341797
17,[260.58426],377.6600036621094
18,[82.385925],80.9800033569336
19,[72.08774],47.31999969482422
20,[30.691185],31.0
21,[92.255356],107.97000122070312
22,[35.079422],38.58000183105469
23,[376.32065],381.7900085449219
24,[75.10549],103.33999633789062
25,[42.670036],53.15999984741211
26,[32.84571],53.08000183105469
27,[259.96313],346.9700012207031
28,[376.27466],302.6000061035156
29,[30.678635],35.209999084472656
30,[33.073914],34.7400016784668
31,[29.364212],15.170000076293945
32,[19.794075],15.470000267028809
33,[84.55054],92.37000274658203
34,[89.005135],101.2699966430664
35,[31.900078],46.529998779296875
36,[376.34213],611.8499755859375
37,[37.65915],50.93000030517578
38,[90.295364],106.41000366210938
39,[28.070938],26.940000534057617
40,[32.24672],37.400001525878906
41,[256.17276],341.239990234375
42,[91.82839],113.18000030517578
43,[66.32075],82.70999908447266
44,[204.85535],152.55999755859375
45,[33.050484],45.16999816894531
46,[200.00874],150.25999450683594
47,[28.511345],39.47999954223633
48,[376.23227],500.82000732421875
49,[20.42286],3.759999990463257
50,[28.63836],39.40999984741211
51,[66.086685],79.91999816894531
52,[38.25151],55.540000915527344
53,[144.86456],196.27000427246094
54,[32.823006],49.869998931884766
55,[376.30975],417.3599853515625
56,[189.3677],359.17999267578125
57,[28.91568],31.18000030517578
58,[32.639854],39.880001068115234
59,[148.67459],140.5800018310547
60,[29.61612],35.90999984741211
61,[197.38202],194.0500030517578
62,[147.34094],152.99000549316406
63,[31.081497],39.939998626708984
64,[32.061172],38.13999938964844
65,[41.99305],92.5
66,[76.487785],92.95999908447266
67,[21.779526],29.020000457763672
68,[31.707619],42.61000061035156
69,[33.065674],41.91999816894531
70,[376.33148],635.6300048828125
71,[77.15268],46.70000076293945
72,[30.98996],30.479999542236328
73,[58.67398],40.369998931884766
74,[19.793137],11.25
75,[29.720627],42.75
76,[95.061646],123.4000015258789
77,[28.99411],26.43000030517578
78,[21.619812],16.829999923706055
79,[149.98833],189.3800048828125
80,[39.938263],48.279998779296875
81,[85.66418],40.84000015258789
82,[201.15811],172.36000061035156
83,[254.49507],263.9599914550781
84,[201.00945],175.1699981689453
85,[361.81482],532.25
86,[242.72534],218.2100067138672
87,[62.039597],70.87999725341797
88,[101.7801],68.19999694824219
89,[208.86069],200.92999267578125
90,[32.59385],38.9900016784668
91,[30.727394],28.610000610351562
92,[113.08384],122.94000244140625
93,[119.428474],129.14999389648438
94,[60.408234],63.470001220703125
95,[250.66666],259.8999938964844
96,[30.73603],25.670000076293945
97,[51.49064],68.19000244140625
98,[248.24767],250.64999389648438
99,[370.12555],404.20001220703125
100,[50.663025],75.83000183105469
101,[193.979],191.8300018310547
102,[376.33978],529.6199951171875
103,[25.047462],38.369998931884766
104,[48.638054],88.36000061035156
105,[27.987892],27.969999313354492
106,[30.67981],26.149999618530273
107,[26.303726],19.40999984741211
108,[28.691116],23.610000610351562
109,[20.307465],31.100000381469727
110,[98.268974],74.76000213623047
111,[30.670097],31.139999389648438
112,[28.071243],33.95000076293945
113,[31.11074],40.7599983215332
114,[29.885323],22.100000381469727
115,[86.80991],104.94000244140625
116,[213.2283],193.49000549316406
117,[125.43427],151.89999389648438
118,[200.66702],175.1699981689453
119,[32.955055],49.22999954223633
120,[84.295105],99.16999816894531
121,[42.543587],16.420000076293945
122,[87.13166],87.79000091552734
123,[30.68335],34.029998779296875
124,[66.72853],79.56999969482422
125,[29.101555],44.7599983215332
126,[31.89914],45.43000030517578
127,[276.3251],454.7799987792969
128,[29.773247],48.56999969482422
129,[89.36661],100.52999877929688
130,[25.205162],24.260000228881836
131,[249.57779],220.08999633789062
132,[25.852455],41.40999984741211
133,[263.48953],329.2699890136719
134,[27.408813],19.530000686645508
135,[242.2708],241.6300048828125
136,[87.20739],98.95999908447266
137,[92.57456],109.5999984741211
138,[111.776955],105.54000091552734
139,[59.978287],28.829999923706055
140,[20.940567],20.440000534057617
141,[29.880043],38.56999969482422
142,[119.77537],116.36000061035156
143,[43.531876],43.63999938964844
144,[56.559372],77.73999786376953
145,[19.809486],14.430000305175781
146,[252.12643],464.8500061035156
147,[203.68988],190.92999267578125
148,[42.37738],41.349998474121094
149,[30.071594],45.310001373291016
150,[226.91174],274.0199890136719
151,[48.660973],57.849998474121094
152,[159.84456],120.48999786376953
153,[29.844337],46.130001068115234
154,[154.71817],90.41999816894531
155,[29.270798],31.829999923706055
156,[27.471779],35.27000045776367
157,[25.29718],29.959999084472656
158,[29.221878],47.45000076293945
159,[376.34747],589.219970703125
160,[172.42741],157.85000610351562
161,[30.806679],31.6200008392334
162,[31.12468],56.22999954223633
163,[42.112442],69.3499984741211
164,[44.71794],82.91000366210938
165,[204.2208],168.5399932861328
166,[36.26329],62.47999954223633
167,[29.135742],37.529998779296875
168,[31.790558],39.93000030517578
169,[258.88898],239.92999267578125
170,[213.94789],225.77000427246094
171,[20.540558],28.290000915527344
172,[45.45665],50.790000915527344
173,[207.09973],187.13999938964844
174,[214.26837],243.74000549316406
